venue_id,name
213,"University of Delaware, Department of Music"
215,Sankofa African Dance Company
216,Auburn Valley State Park
217,Unionville High School
218,Grace United Methodist Church
220,Laird Performing Arts Center at Tatnall School
221,Delaware Division of the Arts
222,Mt. Olivet United Methodist Church
223,St. Edmond's Roman Catholic Church
224,Calvary Community Series
225,Delaware Breast Cancer Coalition
226,Brandywine Friends of Old Time Music
227,The Playhouse on Rodney Square
228,Laurel Public Library
229,"Wesley United Methodist Church, Dover"
230,The Independence School - Auditorium
231,Ardensingers
232,Immanuel Church
233,Gilbert W. Perry Center for the Arts (The Gibby)
234,Downtown Dover Partnership
235,Downtown Dover
236,"University of Delaware, Loudis Recital Hall"
237,"Capital Ringers, Inc."
238,Art Works for All
239,The Arts Center/Gallery at Delaware State University
240,Diamond State Chorus
241,"University of Delaware, Department of English"
242,"University of Delaware, Gore Recital Hall in the Roselle Center for the Arts"
243,Delaware Arts Conservatory
244,Salem United Methodist Church
245,Avenue United Methodist Church
246,New Covenant Presbyterian Church
247,AerieArt Gallery
248,Abraxas Studio of Art and Gallery
249,Nemours/Alfred I. duPont Hospital for Children
250,Dickinson Theatre Organ Society
251,Premier Centre for The Arts - Middletown
252,Best of Broadway Productions
253,DuPont Country Club
255,First State Harmonizers
256,The Rainbow Chorale of Delaware
257,Delaware Division of Historical and Cultural Affairs
258,Lower Brandywine Presbyterian Church
259,St. Joseph's on the Brandywine
261,Hagley Museum and Library
262,"Delaware State University Concert, Choir"
263,First Baptist Church of Dover
264,Calvary Assembly of God
266,The Studio on 24
267,Delaware By Hand
268,"University of Delaware, Mechanical Hall Gallery"
269,"University of Delaware, Old College Gallery"
271,Family Stages
272,Delaware Comedy Theatre Foundation
273,Delaware Foundation for the Visual Arts
274,Baywood Greens Clubhouse
275,Rehoboth Beach Public Library
276,Read Aloud Delaware
277,Dover Century Club
279,Rehoboth Beach (town of)
281,Indian River Life-Saving Station Museum and Gift Shop
282,The Everett Theatre
283,Concord High School Auditorium
284,Coastal Concerts
285,Bethel United Methodist Church Hall
286,Harmony Weavers Guild
288,All Saints Episcopal Church (Rehoboth Beach)
289,Seaford (city of)
292,Hardcastle Gallery
293,Atlantic Sands Hotel
294,Nassau Valley Vineyard - Gallery One
295,Indonesian Cultural Club (ICC) of Delaware
298,Chorus of the Brandywine
299,Presbyterian Church of Dover
303,Nemours Mansion and Garden
304,"University of Delaware, Bayard Sharp Hall"
305,"University of Delaware, Puglisi Orchestra Hall at Roselle Center for the Arts"
306,Newark Municipal Building
308,"Wilmington University (New Castle), Auditorium"
309,Church of the Holy City
310,"Delaware Charitable Music, Inc."
312,Cape Henlopen State Park
313,Dover Downs Hotel & Casino
314,Delaware State Parks
315,Chinese School of Delaware
316,Chinese American Community Center
317,Second Street Players
319,"University of Delaware, Thompson Theatre at Roselle Center for the Arts"
320,Wilmington & Western Railroad
321,Hockessin Memorial Hall
322,Mariner's Bethel United Methodist Church
323,"Epworth United Methodist Church, Rehoboth"
324,Bengali Association of Delaware Valley
326,Milford Middle School
327,Inner City Cultural League
328,Newark Community Band
329,Newark High School
330,People's Church of Dover
331,Delaware Literary Connection
332,National League of American Pen Women Diamond State Branch
333,The Deer Park Tavern
334,Residences at Rodney Square - Great Room
335,Lewes Historical Society
337,Pastiche
338,Brandywine Hundred Branch Library
339,New Castle County
341,South Coastal Library
342,Indian Students Association
344,Bicentennial Park
345,"Downtown Milford, Inc."
346,Milford Memorial Park
347,Wesley College
348,First Presbyterian Church of Newark
350,"Associated Community Talents, Inc. (ACT)"
352,Delmar Public Library
353,Frankford Public Library
354,Georgetown Public LIbrary
355,Harrington Public Library
358,Millsboro Public Library
359,Milton Public Library
360,Seaford Library and Cultural Center
361,Selbyville Public Library
362,Duck Creek Regional Library (Smyrna Public Library)
363,Pegasus ArtWorks Boys & Girls Clubs of Delaware
364,Hearts and Minds Screening Room
365,J. Alexander Productions LLC
367,Stango Park
368,Sussex Dance Academy
369,El Centro Cultural
370,Copeland String Quartet
371,New Wilmington Art Association
372,Milton Arts Guild
373,Milton (downtown)
374,Milford Memorial Hospital Auxiliary
375,Wyoming (town of)
